Node: 490, visit time: 1, predecessor : NULL
Node: 491, visit time: 1, predecessor : NULL
Node: 492, visit time: 1, predecessor : NULL
Node: 493, visit time: 1, predecessor : NULL
Node: 494, visit time: 1, predecessor : NULL
Node: 495, visit time: 1, predecessor : NULL
Node: 496, visit time: 1, predecessor : NULL
Node: 497, visit time: 1, predecessor : NULL
Node: 498, visit time: 1, predecessor : NULL
Node: 499, visit time: 1, predecessor : NULL
Node: 500, visit time: 1, predecessor : NULL
Node: 501, visit time: 1, predecessor : NULL
Node: 502, visit time: 1, predecessor : NULL
Node: 503, visit time: 1, predecessor : NULL
Node: 504, visit time: 1, predecessor : NULL
Node: 505, visit time: 1, predecessor : NULL
Node: 506, visit time: 1, predecessor : NULL
Node: 507, visit time: 1, predecessor : NULL
Node: 508, visit time: 1, predecessor : NULL
Node: 509, visit time: 1, predecessor : NULL
Node: 510, visit time: 1, predecessor : NULL
Node: 511, visit time: 1, predecessor : NULL
Node: 512, visit time: 1, predecessor : NULL
Node: 513, visit time: 1, predecessor : NULL
Node: 514, visit time: 1, predecessor : NULL
Node: 515, visit time: 1, predecessor : NULL
Node: 516, visit time: 1, predecessor : NULL
Node: 517, visit time: 1, predecessor : NULL
Node: 518, visit time: 1, predecessor : NULL
Node: 519, visit time: 1, predecessor : NULL
Node: 520, visit time: 1, predecessor : NULL
Node: 521, visit time: 1, predecessor : NULL
Node: 522, visit time: 1, predecessor : NULL
Node: 523, visit time: 1, predecessor : NULL
Node: 524, visit time: 1, predecessor : NULL
Node: 525, visit time: 1, predecessor : NULL
Node: 526, visit time: 1, predecessor : NULL
Node: 527, visit time: 1, predecessor : NULL
Node: 528, visit time: 1, predecessor : NULL
Node: 529, visit time: 1, predecessor : NULL
Node: 530, visit time: 1, predecessor : NULL
Node: 531, visit time: 1, predecessor : NULL
Node: 532, visit time: 1, predecessor : NULL
Node: 533, visit time: 1, predecessor : NULL
Node: 534, visit time: 1, predecessor : NULL
Node: 535, visit time: 1, predecessor : NULL
Node: 536, visit time: 1, predecessor : NULL
Node: 537, visit time: 1, predecessor : NULL
Node: 538, visit time: 1, predecessor : NULL
Node: 539, visit time: 1, predecessor : NULL
Node: 540, visit time: 1, predecessor : NULL
Node: 541, visit time: 1, predecessor : NULL
Node: 542, visit time: 1, predecessor : NULL
Node: 543, visit time: 1, predecessor : NULL
Node: 544, visit time: 1, predecessor : NULL
Node: 545, visit time: 1, predecessor : NULL
Node: 546, visit time: 1, predecessor : NULL
Node: 547, visit time: 1, predecessor : NULL
Node: 548, visit time: 1, predecessor : NULL
Node: 549, visit time: 1, predecessor : NULL
Node: 550, visit time: 1, predecessor : NULL
Node: 551, visit time: 1, predecessor : NULL
Node: 552, visit time: 1, predecessor : NULL
Node: 553, visit time: 1, predecessor : NULL
Node: 554, visit time: 1, predecessor : NULL
Node: 555, visit time: 1, predecessor : NULL
Node: 556, visit time: 1, predecessor : NULL
Node: 557, visit time: 1, predecessor : NULL
Node: 558, visit time: 1, predecessor : NULL
Node: 559, visit time: 1, predecessor : NULL
Node: 560, visit time: 1, predecessor : NULL
Node: 561, visit time: 1, predecessor : NULL
Node: 562, visit time: 1, predecessor : NULL
Node: 563, visit time: 1, predecessor : NULL
Node: 564, visit time: 1, predecessor : NULL
Node: 565, visit time: 1, predecessor : NULL
Node: 566, visit time: 1, predecessor : NULL
Node: 567, visit time: 1, predecessor : NULL
Node: 568, visit time: 1, predecessor : NULL
Node: 569, visit time: 1, predecessor : NULL
Node: 570, visit time: 1, predecessor : NULL
Node: 571, visit time: 1, predecessor : NULL
Node: 572, visit time: 1, predecessor : NULL
Node: 573, visit time: 1, predecessor : NULL
Node: 574, visit time: 1, predecessor : NULL
Node: 575, visit time: 1, predecessor : NULL
Node: 576, visit time: 1, predecessor : NULL
Node: 577, visit time: 1, predecessor : NULL
Node: 578, visit time: 1, predecessor : NULL
Node: 579, visit time: 1, predecessor : NULL
Node: 580, visit time: 1, predecessor : NULL
Node: 581, visit time: 1, predecessor : NULL
Node: 582, visit time: 1, predecessor : NULL
Node: 583, visit time: 1, predecessor : NULL
Node: 584, visit time: 1, predecessor : NULL
Node: 585, visit time: 1, predecessor : NULL
Node: 586, visit time: 1, predecessor : NULL
Node: 587, visit time: 1, predecessor : NULL
Node: 588, visit time: 1, predecessor : NULL
Node: 589, visit time: 1, predecessor : NULL
Node: 590, visit time: 1, predecessor : NULL
Node: 591, visit time: 1, predecessor : NULL
Node: 592, visit time: 1, predecessor : NULL
Node: 593, visit time: 1, predecessor : NULL
Node: 594, visit time: 1, predecessor : NULL
Node: 595, visit time: 1, predecessor : NULL
Node: 596, visit time: 1, predecessor : NULL
Node: 597, visit time: 1, predecessor : NULL
Node: 598, visit time: 1, predecessor : NULL
Node: 599, visit time: 1, predecessor : NULL
Node: 600, visit time: 1, predecessor : NULL
Node: 601, visit time: 1, predecessor : NULL
Node: 602, visit time: 1, predecessor : NULL
Node: 603, visit time: 1, predecessor : NULL
Node: 604, visit time: 1, predecessor : NULL
Node: 605, visit time: 1, predecessor : NULL
Node: 606, visit time: 1, predecessor : NULL
Node: 607, visit time: 1, predecessor : NULL
Node: 608, visit time: 1, predecessor : NULL
Node: 609, visit time: 1, predecessor : NULL
Node: 610, visit time: 1, predecessor : NULL
Node: 611, visit time: 1, predecessor : NULL
Node: 612, visit time: 1, predecessor : NULL
Node: 613, visit time: 1, predecessor : NULL
Node: 614, visit time: 1, predecessor : NULL
Node: 615, visit time: 1, predecessor : NULL
Node: 616, visit time: 1, predecessor : NULL
Node: 617, visit time: 1, predecessor : NULL
Node: 618, visit time: 1, predecessor : NULL
